gender,income,whatIsYourHeightExpressItAsANumberInMetresM,doYouFeelASenseOfPurposeAndMeaningInYourLife104,howDoYouReconcileSpiritualBeliefsWithScientificOrRationalThinki,howOftenDoYouFeelSociallyConnectedWithYourPeersAndFriends,doYouHaveASupportSystemOfFriendsAndFamilyToTurnToWhenNeeded,howOftenDoYouParticipateInSocialActivitiesIncludingClubsSportsV,doYouFeelComfortableEngagingInConversationsWithPeopleFromDiffer,doYouFeelASenseOfPurposeAndMeaningInYourLife105,alwaysAnxious,alwaysStressed,alwaysAccountableAndResponsibleForYourActions,alwaysCalm,myBodyIsHypermobileAndLovesToMove,alwaysHaveFun,alwaysSerious,alwaysDepressed,alwaysLoveAndCareForYourself,extremelyGoodAbilityToSense,alwaysHaveDigestiveProblems,iAmIntenselyInterestedInOtherPeople,iRarelyWakeUpFeelingRested,iFindMostThingsAmusing,iAmAlwaysCommittedAndInvolved,iDoNotThinkThatTheWorldIsAGoodPlace,iAmWellSatisfiedAboutEverythingInMyLife,iFindBeautyInSomeThings,iAlwaysHaveACheerfulEffectOnOthers,iFeelThatIAmNotEspeciallyInControlOfMyLife,iUsuallyHaveAGoodInfluenceOnEvents,iDontHaveFunWithOtherPeople,alwaysEngageInPreparingAndUsingYourSkillsAndTalentsInOrderToGai,alwaysMakingProgress,extremelyGoodCommunicator,iDontFeelParticularlyPleasedWithTheWayIAm,iFeelThatLifeIsVeryRewarding,iHaveVeryWarmFeelingsTowardsAlmostEveryone,iAmNotParticularlyOptimisticAboutTheFuture,lifeIsGood,iLaughALot,iDontThinkILookAttractive,happiness
Male,120k - 150k,175 - 180,Yes,They are separate,Never,"Yes, I have both",At least once a month,Never,Yes,0,2,1,0,-2,-2,0,0,0,0,-2,1,2,2,1,2,-1,0,-2,0,-2,2,0,1,0,2,-1,0,1,-2,-1,2,-9.46594
Male,15k - 20k,155 - 160,Yes,They conflict,Sometimes,No,At least once a month,Never,Yes,-1,-1,1,2,0,0,0,-1,1,2,-2,0,-1,1,2,1,2,2,1,-2,0,-1,2,2,1,-1,2,2,-1,1,1,-2,4.82757
Female,10k - 15k,165 - 170,Yes,They are separate,Rarely,"Yes, I have family",At least once a month,Never,No,0,-2,1,1,2,1,0,-2,-2,1,1,0,0,1,0,-2,-2,1,2,0,0,-2,1,0,0,1,0,0,0,-2,1,1,5.82008
Male,0 - 10k,170 - 175,Yes,They complement each other,Rarely,"Yes, I have both",At least once a month,Rarely,Yes,2,2,1,-2,-2,0,0,-2,1,2,0,-2,1,1,1,0,-1,1,1,0,-2,-2,0,1,-2,-2,1,2,-2,2,0,0,-24.4443
Female,150k - 200k,160 - 165,Yes,They complement each other,Rarely,"Yes, I have family",More than three times a week,Rarely,Yes,2,1,0,-1,-2,1,1,1,0,-2,0,-2,1,1,0,1,0,1,-2,0,0,0,0,0,-2,0,1,0,-2,0,1,1,-5.59977
Male,150k - 200k,175 - 180,Yes,They complement each other,Rarely,"Yes, I have both",At least once a week,Rarely,Yes,-2,-2,2,0,2,1,-2,-2,2,1,-1,2,0,1,1,-2,1,2,0,1,1,-2,2,1,1,-2,0,0,-2,1,1,1,-2.21167
Male,15k - 20k,185 - 190,Yes,They conflict,Sometimes,No,At least once a week,Always,No,-2,-2,2,-2,1,-1,-2,-2,-2,0,-2,-1,2,-2,0,0,0,1,-2,0,1,-2,-2,0,0,0,-2,0,-2,-2,-2,-2,10.8721
Male,200k above,170 - 175,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Always,Yes,-1,-2,1,-2,-1,0,-2,-1,0,0,-1,-2,-2,2,1,0,-2,2,0,1,-2,0,1,0,-2,1,0,-2,2,1,1,-1,13.9887
Male,0 - 10k,170 - 175,No,They complement each other,Sometimes,"Yes, I have both",At least once a week,Rarely,No,0,0,-2,-1,-2,-1,-2,0,-2,0,-2,0,0,0,-1,0,-1,1,0,0,-2,-1,-2,-2,-2,-1,0,0,-2,-2,1,-2,-33.1176
Male,120k - 150k,185 - 190,Yes,They are separate,Rarely,"Yes, I have both",More than three times a week,Always,Yes,1,0,0,-1,1,1,-2,-1,0,0,0,-2,1,1,0,-1,0,0,-2,-2,1,-2,1,1,-2,-1,1,0,-1,2,2,-2,4.53843
Male,80k - 120k,175 - 180,Yes,They conflict,Always,"Yes, I have family",More than three times a week,Always,Yes,-2,-2,2,1,1,2,-2,-2,1,0,-2,0,-1,1,0,2,0,2,0,0,0,-1,0,1,0,0,0,1,-2,1,0,-1,36.8485
Other,120k - 150k,175 - 180,Yes,They complement each other,Sometimes,No,At least once a week,Always,Yes,-2,0,1,2,1,2,0,-1,2,0,-1,-2,-1,1,1,-1,0,1,0,-2,2,-1,2,1,0,-1,2,1,-1,2,0,-1,4.97011
Male,0 - 10k,165 - 170,Yes,They are separate,Never,"Yes, I have family",At least once a month,Rarely,Yes,0,0,1,1,0,-2,2,-2,0,-2,-2,0,-2,-2,2,-1,0,1,1,-2,0,0,1,1,0,-2,1,1,-1,1,-2,1,-7.03107
Male,20k - 50k,165 - 170,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,-1,-2,1,-1,0,-2,-1,-2,1,1,1,-2,0,0,0,-2,-1,0,2,0,0,0,0,0,-2,0,-1,0,-2,0,0,-2,15.3078
Male,10k - 15k,180 - 185,Yes,They are separate,Sometimes,"Yes, I have both",At least once a week,Always,Yes,0,0,1,0,1,1,0,0,0,2,1,0,0,1,0,-1,0,1,2,1,1,-1,1,0,1,0,1,1,-1,1,1,-1,-3.07681
Female,120k - 150k,170 - 175,Yes,They are separate,Never,"Yes, I have both",At least once a week,Always,Yes,-2,1,2,-2,1,1,-2,-2,1,2,0,-2,2,1,1,-1,0,-1,0,-1,0,-1,2,0,0,0,1,0,0,0,1,-2,-1.50596
Male,150k - 200k,175 - 180,Yes,They are separate,Sometimes,"Yes, I have both",More than three times a week,Never,Yes,2,2,1,-1,-2,-2,2,1,-1,0,2,0,1,-2,-2,1,-1,0,-2,1,-2,0,-2,-1,-1,2,-2,0,1,-1,-2,2,-10.2419
Male,80k - 120k,160 - 165,Yes,They complement each other,Always,"Yes, I have family",More than three times a week,Never,Yes,0,1,2,1,1,-1,2,1,-2,1,0,0,-2,-1,2,1,0,1,0,0,-1,-2,0,1,0,-2,1,2,-1,0,0,0,11.2239
Female,200k above,165 - 170,Yes,They are separate,Sometimes,"Yes, I have family",At least once a month,Sometimes,Yes,-2,-1,-2,-2,0,-2,-2,-1,0,-2,1,-2,0,1,-2,1,1,1,-2,-1,0,-2,-2,-2,0,-2,-2,-1,0,0,1,0,13.3434
Male,15k - 20k,165 - 170,Yes,They complement each other,Sometimes,No,More than three times a week,Sometimes,Yes,-2,-1,1,-2,0,-1,-2,-2,0,0,0,-2,2,0,0,-2,0,1,0,1,0,-2,-2,-2,0,2,-2,-2,0,-2,-2,-2,2.59314
Female,0 - 10k,175 - 180,Yes,They complement each other,Sometimes,"Yes, I have both",More than three times a week,Sometimes,Yes,-2,1,0,-1,0,0,-1,0,-2,-2,0,0,1,-2,1,0,-1,1,-2,0,-2,1,-2,0,1,2,0,-2,0,0,0,-2,-33.5488
Female,15k - 20k,170 - 175,Yes,They conflict,Never,"Yes, I have family",Rarely,Sometimes,Yes,0,-1,1,-2,0,1,0,-2,1,-2,-2,0,1,1,2,0,-2,1,0,-2,1,-2,-2,-2,1,-2,1,0,0,1,0,-2,4.62961
Male,150k - 200k,170 - 175,Yes,They complement each other,Sometimes,"Yes, I have both",No,Never,Yes,-1,-1,-2,1,-2,1,-1,-1,1,2,-2,0,-2,1,0,-2,1,1,2,-2,0,-1,2,1,2,-2,2,2,-1,1,1,-2,6.20934
